Word,Weight,Effect
windows,-0.31627167461195105,negative
thanks,-0.2327152571217073,negative
know,-0.16554131497002667,negative
help,-0.1631715293384098,negative
file,-0.16113060992237854,negative
cmu,-0.13362965727909099,negative
graphics,-0.13296205941549602,negative
program,-0.1236047601363962,negative
andrew,-0.11921229972665877,negative
files,-0.1153350405820722,negative
window,-0.10896510098130857,negative
uiuc,-0.10849637665577375,negative
ca,-0.10750014356414395,negative
god,-0.10271036833690031,negative
advance,-0.10243314174115768,negative
looking,-0.09556952790213757,negative
hi,-0.08967692769499634,negative
university,-0.08893719772148574,negative
dos,-0.08348514164993506,negative
ve,-0.08178478329223879,negative
study,0.11068524249304207,positive
clipper,0.11424925606593508,positive
case,0.11552877623582086,positive
keith,0.11809971543607914,positive
homosexual,0.11852330764988107,positive
cs,0.1224091492449919,positive
caltech,0.12419374354262303,positive
drive,0.12940411611550692,positive
new,0.13392838152839892,positive
stratus,0.1370723356985768,positive
access,0.1458359203871111,positive
gay,0.14681120781048693,positive
sale,0.14943826345691175,positive
government,0.15275192060833573,positive
clayton,0.15371806483919187,positive
com,0.1661889021604232,positive
optilink,0.20220652544401635,positive
ac,0.20310943137085471,positive
cramer,0.21829301225594505,positive
uk,0.29873154345627995,positive
